caracter_codigo,caracter_ocupacional
00,"Funcionarios del poder ejecutivo nacional, provincial, municipal y/o departamental."
01,"Funcionarios del poder legislativo nacional, provincial, municipal y/o departamental."
02,"Funcionarios del poder judicial, federal, nacional, provincial, municipal y/o departamental."
03,"Directivos de organismos, empresas e instituciones estatales."
04,"Directivos de instituciones sociales."
05,"Directivos de pequeñas y microempresas."
06,"Directivos de medianas empresas privadas productoras de bienes y servicios."
07,"Directivos de grandes empresas privadas productoras de bienes y servicios."
10,"Ocupaciones de la gestión administrativa, planificación y control de gestión."
11,"Ocupaciones de la gestión jurídico-legal."
20,"Ocupaciones de la gestión presupuestaria, contable y financiera."
30,"Ocupaciones de la comercialización directa."
31,"Ocupaciones del corretaje comercial, venta domiciliaria, viajantes y promotores."
32,"Ocupaciones de la comercialización indirecta."
33,"Ocupaciones de la comercialización ambulante y callejera."
34,"Ocupaciones del transporte."
35,"Ocupaciones de las telecomunicaciones"
36,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos."
40,"Ocupaciones de la salud y sanidad."
41,"Ocupaciones de la educación."
42,"Ocupaciones de la investigación."
43,"Ocupaciones de la asesoria y la consultaría."
44,"Ocupaciones de la prevención de siniestros (naturales, humanos, productivos) y atención del medio ambiente y ecología."
45,"Ocupaciones de la comunicación de masas."
46,"Ocupaciones de los servicios sociales, comunales, políticos, gremiales y religiosos."
47,"Ocupaciones de los servicios de vigilancia y seguridad civil."
48,"Ocupaciones de servicios policiales."
49,"Ocupaciones de las FF.AA. Gendarmería y Prefectura."
50,"Ocupaciones del arte."
51,"Ocupaciones del deporte."
52,"Ocupaciones de servicios de recreación."
53,"Ocupaciones de servicios gastronómicos."
54,"Ocupaciones de los servicios de alojamiento y turismo."
55,"Ocupaciones de los servicios domésticos."
56,"Ocupaciones de servicios de limpieza no domésticos."
57,"Ocupaciones del cuidado y la atención de personas."
58,"Ocupaciones de los servicios sociales varios."
60,"Ocupaciones de la producción agrícola."
61,"Ocupaciones de la producción ganadera."
62,"Ocupaciones de la producción forestal."
63,"Ocupaciones de la producción apícola, avícolas y de otras especies menores."
64,"Ocupaciones de la producción pesquera."
65,"Ocupaciones de la caza."
70,"Ocupaciones de la producción extractiva."
71,"Ocupaciones de la producción de energía, agua y gas."
72,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo."
80,"Ocupaciones de la producción industrial y artesanal."
81,"Ocupaciones de la producción de software."
82,"Ocupaciones de la reparación de bienes de consumo."
90,"Ocupaciones de la instalación y mantenimiento de maquinaria, equipos y sistemas de la producción de bienes."
91,"Ocupaciones del desarrollo tecnológico productivo."
92,"Ocupaciones de la instalación y mantenimiento de maquinaria, equipos y sistemas de la prestación de servicios."
