seccion_code,seccion,division_code,division,clase_code,clase
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",1,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO",101,Cultivos agrícolas
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",1,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO",102,Cría de animales
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",1,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO",103,Cultivo de productos agrícolas en combinación con la cría de animales
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",1,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO",104,"Servicios agrícolas y pecuarios, excepto los veterinarios"
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",1,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE APOYO",105,Caza y servicios de apoyo
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",2,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO",200,"Silvicultura, extracción de madera y actividades de apoyo"
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",3,"PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO",300,"Pesca, acuicultura y actividades de apoyo"
B,EXPLOTACIÓN DE MINAS Y CANTERAS,5,EXTRACCIÓN DE CARBÓN Y LIGNITO,500,Extracción de carbón y lignito
B,EXPLOTACIÓN DE MINAS Y CANTERAS,6,EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL,600,Extracción de petróleo crudo y gas natural
B,EXPLOTACIÓN DE MINAS Y CANTERAS,7,EXTRACCIÓN DE MINERALES METALÍFEROS,700,Extracción de minerales metalíferos
B,EXPLOTACIÓN DE MINAS Y CANTERAS,8,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,800,Explotación de otras minas y canteras
B,EXPLOTACIÓN DE MINAS Y CANTERAS,9,ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS,900,Actividades de apoyo a la explotación de minas y canteras
C,INDUSTRIA MANUFACTURERA,10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,1001,Producción y procesamiento de carne y pescado
C,INDUSTRIA MANUFACTURERA,10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,1002,"Preparación de frutas, hortalizas y legumbres; aceites y grasas"
C,INDUSTRIA MANUFACTURERA,10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,1003,Elaboración de productos lácteos
C,INDUSTRIA MANUFACTURERA,10,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,1009,Elaboración de productos alimenticios n.c.p.
C,INDUSTRIA MANUFACTURERA,11,ELABORACIÓN DE BEBIDAS,1100,Elaboración de bebidas
C,INDUSTRIA MANUFACTURERA,12,ELABORACIÓN DE PRODUCTOS DE TABACO,1200,Elaboración de productos de tabaco
C,INDUSTRIA MANUFACTURERA,13,"FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR",1300,"Fabricación de productos textiles, excepto prendas de vestir"
C,INDUSTRIA MANUFACTURERA,14,"CONFECCIÓN DE PRENDAS DE VESTIR, TERMINACIÓN Y TEÑIDO DE PIELES",1400,"Confección de prendas de vestir, terminación y teñido de pieles"
C,INDUSTRIA MANUFACTURERA,15,FABRICACIÓN DE CUERO Y PRODUCTOS CONEXOS,1501,"Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; teñido de pieles"
C,INDUSTRIA MANUFACTURERA,15,FABRICACIÓN DE CUERO Y PRODUCTOS CONEXOS,1502,Fabricación de calzado y sus partes
C,INDUSTRIA MANUFACTURERA,16,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",1600,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables"
